"module_code","group_code","semester_code","week","date","start","end","location_code","teaching_mode"
"YHU3330","E1","AY2021-1",2,2020-08-18,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",3,2020-08-25,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",4,2020-09-01,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",5,2020-09-08,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",6,2020-09-15,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",8,2020-09-29,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",9,2020-10-06,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",10,2020-10-13,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",11,2020-10-20,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",12,2020-10-27,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",13,2020-11-03,"19:30","21:00",NA,"REMOTE"
"YHU3330","E1","AY2021-1",14,2020-11-10,"19:30","21:00",NA,"REMOTE"
"YHU3267","E1","AY2021-1",1,2020-08-14,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",2,2020-08-21,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",3,2020-08-28,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",4,2020-09-04,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",5,2020-09-11,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",6,2020-09-18,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",8,2020-10-02,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",9,2020-10-09,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",10,2020-10-16,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",11,2020-10-23,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",12,2020-10-30,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",13,2020-11-06,"9:00","10:30",NA,"REMOTE"
"YHU3267","E1","AY2021-1",14,2020-11-13,"9:00","10:30",NA,"REMOTE"
"YSC4103","E1","AY2021-1",1,2020-08-12,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",2,2020-08-19,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",3,2020-08-26,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",4,2020-09-02,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",5,2020-09-09,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",6,2020-09-16,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",8,2020-09-30,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",9,2020-10-07,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",10,2020-10-14,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",11,2020-10-21,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",12,2020-10-28,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",13,2020-11-04,"13:00","14:00","Y-PerfHall","F2F"
"YSC4103","E1","AY2021-1",14,2020-11-11,"13:00","14:00","Y-PerfHall","F2F"
"YSC2243","E1","AY2021-1",1,2020-08-10,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",2,2020-08-17,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",3,2020-08-24,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",4,2020-08-31,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",5,2020-09-07,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",6,2020-09-14,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",8,2020-09-28,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",9,2020-10-05,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",10,2020-10-12,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",11,2020-10-19,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",12,2020-10-26,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",13,2020-11-02,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",14,2020-11-09,"14:30","16:00","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",1,2020-08-13,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",2,2020-08-20,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",3,2020-08-27,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",4,2020-09-03,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",5,2020-09-10,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",6,2020-09-17,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",8,2020-10-01,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",9,2020-10-08,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",10,2020-10-15,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",11,2020-10-22,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",12,2020-10-29,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",13,2020-11-05,"9:00","10:30","Y-TCTLT","F2F"
"YSC2243","E1","AY2021-1",14,2020-11-12,"9:00","10:30","Y-TCTLT","F2F"
"YHU3274","E1","AY2021-1",1,2020-08-10,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",2,2020-08-17,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",3,2020-08-24,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",4,2020-08-31,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",5,2020-09-07,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",6,2020-09-14,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",8,2020-09-28,"14:30","16:00","Y-CR16","F2F"
