"module_code","group_code","semester_code","weeks","day","start","end","location_code","teaching_mode"
"YSC2231","E1","AY2021-1","1-6, 8-14",4,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1","1-6, 8-14",1,"18:30","20:30","Y-TCTLT","F2F"
"YCC2137","L6","AY2021-1","1-6, 8-14",1,"18:00","19:30","ERC-ALR","F2F"
"YSC3211","E1","AY2021-1","1-6, 8-14",4,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1","1-6, 8-14",1,"8:30","10:30",NA,"REMOTE"
"YCC2137","L6","AY2021-1","1-6, 8-14",4,"18:00","19:30","ERC-ALR","F2F"
"YSC2244","E1","AY2021-1","1-6, 8-14",3,"9:00","12:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1","1-6, 8-14",5,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1","1-6, 8-14",3,"14:30","16:00",NA,"REMOTE"
"YSC2239","E2","AY2021-1","1-6, 8-14",2,"10:30","12:00","NAK-AUD","F2F"
"YSC2239","E1","AY2021-1","1-6, 8-14",2,"14:30","16:00","Y-Blackbox","F2F"
"YSC2239","E2","AY2021-1","1-6, 8-14",5,"10:30","12:00","Y-TCTLT","F2F"
"YSC2239","E1","AY2021-1","1-6, 8-14",5,"14:30","16:00","Y-Blackbox","F2F"
"YHU2316","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-ELMCL","F2F"
"YHU4103","E1","AY2021-1","1-6, 8-14",3,"12:30","15:30","Y-PgRm1","F2F"
"YHU2316","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-ELMCL","F2F"
"YLS1202","E1","AY2021-1","1-6, 8-14",3,"10:30","11:30","Y-PgRm1","F2F"
"YLS1202","E1","AY2021-1","1-6, 8-14",2,"10:30","12:00","Y-PgRm1","F2F"
"YLS2201","E1","AY2021-1","1-6, 8-14",2,"13:00","14:30","Y-CR2","F2F"
"YLS2202","E1","AY2021-1","1-6, 8-14",3,"16:00","17:30","Y-CR16","F2F"
"YLS1202","E1","AY2021-1","1-6, 8-14",4,"10:30","12:00","Y-PgRm1","F2F"
"YLS2201","E1","AY2021-1","1-6, 8-14",3,"13:00","14:00","Y-CR2","F2F"
"YLS2202","E1","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-CR16","F2F"
"YLS2201","E1","AY2021-1","1-6, 8-14",4,"13:00","14:30","Y-CR2","F2F"
"YLS2202","E1","AY2021-1","1-6, 8-14",4,"12:00","13:00","Y-CR16","F2F"
"YCC1122","EL7","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-Blackbox","F2F"
"YCC1122","EL7","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-Blackbox","F2F"
"YCC1122","EL13","AY2021-1","1-6, 8-14",4,"16:00","18:00","Y-CompLab","F2F"
"YCC1122","EL13","AY2021-1","1-6, 8-14",1,"16:00","18:00","Y-CompLab","F2F"
"YSC1221","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-PhysLab","REMOTE_F2F"
"YSC1221","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-PhysLab","REMOTE_F2F"
"YCC1111","L5","AY2021-1","1-6, 8-14",5,"19:30","21:00","Y-TCTLT","F2F"
"YCC1111","L5","AY2021-1","1-6, 8-14",2,"19:30","21:00","Y-TCTLT","F2F"
"YCC1122","EL5","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-CR17","F2F"
"YSS2242","E1","AY2021-1","1-6, 8-14",1,"9:00","10:30","Y-PgRm1","F2F"
"YSS2242","E1","AY2021-1","1-6, 8-14",4,"9:00","10:30","Y-PgRm1","F2F"
"YCC1122","EL5","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-CR17","F2F"
"YSS3201","E1","AY2021-1","1-6, 8-14",4,"9:00","11:00","Y-BlackBox","F2F"
"YSS3254","E1","AY2021-1","1-6, 8-14",1,"16:00","17:30","Y-LT1","F2F"
"YSS3254","E1","AY2021-1","1-6, 8-14",4,"16:00","17:30","Y-LT1","F2F"
"YSS3201","E1","AY2021-1","1-6, 8-14",1,"9:00","11:00","Y-BlackBox","F2F"
"YID3218","E1","AY2021-1","1-6, 8-14",5,"14:30","16:30","NAK-AUD","F2F"
"YCC1121","L3","AY2021-1","1-6, 8-14",2,"18:00","19:30","Y-GLRm1","F2F"
"YCC1121","L3","AY2021-1","1-6, 8-14",5,"18:00","19:30","Y-GLRm1","F2F"
"YID3218","E1","AY2021-1","1-6, 8-14",2,"14:30","16:30","NAK-AUD","F2F"
"YSC1212","E1","AY2021-1","1-6, 8-14",3,"18:00","21:00","Y-LT1","F2F"
"YSC2221","E2","AY2021-1","1-6, 8-14",1,"18:00","21:00","Y-Blackbox","F2F"
"YSC2221","E1","AY2021-1","1-6, 8-14",1,"18:00","21:00","Y-Blackbox","F2F"
"YHU2293","E1","AY2021-1","1-6, 8-14",5,"18:00","21:00","Y-CR16","REMOTE"
"YHU2202","E1","AY2021-1","1-6, 8-14",5,"9:00","12:00",NA,"REMOTE"
"YSS3224","E1","AY2021-1","1-6, 8-14",2,"14:30","16:00",NA,"REMOTE"
"YSS3224","E1","AY2021-1","1-6, 8-14",5,"14:30","16:00",NA,"REMOTE"
"YCC2137","L4","AY2021-1","1-6, 8-14",4,"19:30","21:00",NA,"REMOTE"
"YCC2137","L3","AY2021-1","1-6, 8-14",4,"18:00","19:30","Y-CR17","F2F"
"YCC2137","L3","AY2021-1","1-6, 8-14",1,"18:00","19:30","Y-CR17","F2F"
"YCC2137","L4","AY2021-1","1-6, 8-14",1,"19:30","21:00",NA,"REMOTE"
"YID3221","E1","AY2021-1","1-6, 8-14",3,"9:00","12:00","Y-YESLab","F2F"
"YSS3248","E1","AY2021-1","1-6, 8-14",4,"14:30","16:00","Y-PerfHall","F2F"
"YSS2203","E2","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-LT1","F2F"
"YSS3248","E1","AY2021-1","1-6, 8-14",1,"9:00","10:00","Y-PerfHall","REMOTE"
"YSS2203","E1","AY2021-1","1-6, 8-14",5,"18:00","19:30","Y-LT1","F2F"
"YSS2203","E2","AY2021-1","1-6, 8-14",5,"16:00","17:30","Y-LT1","F2F"
"YSS3248","E1","AY2021-1","1-6, 8-14",6,"14:30","16:00","Y-PerfHall","F2F"
"YSS2203","E1","AY2021-1","1-6, 8-14",2,"18:00","19:30","Y-LT1","F2F"
"YCC1113","L12","AY2021-1","1-6, 8-14",1,"18:00","19:30","TP-GLR","F2F"
"YCC1113","L12","AY2021-1","1-6, 8-14",4,"18:00","19:30","UTSRC - GLR","F2F"
"YCC1113","L7","AY2021-1","1-6, 8-14",1,"19:30","21:00","TP-GLR","F2F"
"YCC1113","L7","AY2021-1","1-6, 8-14",4,"19:30","21:00","TP-GLR","F2F"
"YCC2137","L7","AY2021-1","1-6, 8-14",4,"13:00","14:30","ERC-ALR","F2F"
"YID4101","E1","AY2021-1","1-6, 8-14",3,"18:00","19:30","Y-CR17","F2F"
"YID3202G","E1","AY2021-1","1-6, 8-14",1,"9:00","10:30","Y-CR1","F2F"
"YCC2137","L7","AY2021-1","1-6, 8-14",1,"13:00","14:30","ERC-ALR","F2F"
"YID3202G","E1","AY2021-1","1-6, 8-14",4,"9:00","10:30","Y-CR1","F2F"
"YHU2311","E1","AY2021-1","1-6, 8-14",5,"19:30","21:00","Y-LT1","F2F"
"YHU2311","E1","AY2021-1","1-6, 8-14",2,"19:30","21:00","Y-LT1","F2F"
"YCC1113","L4","AY2021-1","1-6, 8-14",4,"10:30","12:00","NAK-AUD","F2F"
"YCC1113","L4","AY2021-1","1-6, 8-14",1,"10:30","12:00","NAK-AUD","F2F"
"YCC1113","L10","AY2021-1","1-6, 8-14",4,"14:30","16:00","ERC-ALR","F2F"
"YCC1113","L10","AY2021-1","1-6, 8-14",1,"14:30","16:00","ERC-ALR","F2F"
"YCC1121","L10","AY2021-1","1-6, 8-14",5,"16:00","17:30",NA,"REMOTE"
"YCC1121","L10","AY2021-1","1-6, 8-14",2,"16:00","17:30",NA,"REMOTE"
"YSS4236","E1","AY2021-1","1-6, 8-14",3,"18:00","21:00","Y-CR15","F2F"
"YCC2137","L1","AY2021-1","1-6, 8-14",4,"13:00","14:30","Y-CompLab","F2F"
"YCC2137","L8","AY2021-1","1-6, 8-14",4,"16:00","17:30","Y-Blackbox","F2F"
"YCC2137","L8","AY2021-1","1-6, 8-14",1,"16:00","17:30","Y-Blackbox","F2F"
"YCC2137","L1","AY2021-1","1-6, 8-14",1,"13:00","14:30","Y-CompLab","F2F"
"YHU2215","E1","AY2021-1","1-6, 8-14",4,"13:00","17:00","Y-ArtsStud
Y-Studio3","F2F"
"YHU2248","E1","AY2021-1","1-6, 8-14",4,"9:00","12:00",NA,"REMOTE"
"YSC1213","E1","AY2021-1","1-6, 8-14",2,"10:30","12:30","Y-CR15","F2F"
"YCC2137","L9","AY2021-1","1-6, 8-14",1,"16:00","17:30","ERC-ALR","F2F"
"YCC2137","L9","AY2021-1","1-6, 8-14",4,"16:00","17:30","ERC-ALR","F2F"
"YSC1213","E1","AY2021-1","1-6, 8-14",4,"10:30","12:30","Y-CR15","F2F"
"YCC1121","L12","AY2021-1","1-6, 8-14",2,"19:30","21:00","ERC-ALR","F2F"
"YSS2220","E1","AY2021-1","1-6, 8-14",2,"14:30","16:00","UTSRC-LT53","F2F"
"YCC1121","L12","AY2021-1","1-6, 8-14",5,"19:30","21:00","ERC-ALR","F2F"
"YSS2220","E1","AY2021-1","1-6, 8-14",5,"14:30","16:00","UTSRC-LT53","F2F"
"YCC1121","L5","AY2021-1","1-6, 8-14",5,"18:00","19:30","ERC-ALR","F2F"
"YCC1121","L5","AY2021-1","1-6, 8-14",2,"18:00","19:30","ERC-ALR","F2F"
"YCC2121","L3","AY2021-1","1-6, 8-14",3,"10:30","12:00",NA,"REMOTE"
"YCC2121","L10","AY2021-1","1-6, 8-14",3,"13:00","14:30",NA,"REMOTE"
"YCC2121","L10","AY2021-1","1-6, 8-14",5,"13:00","14:30",NA,"REMOTE"
"YCC2121","L3","AY2021-1","1-6, 8-14",5,"10:30","12:00",NA,"REMOTE"
"YHU3276","E1","AY2021-1","1-6, 8-14",5,"10:30","12:00","Y-ELMCL","F2F"
"YHU3276","E1","AY2021-1","1-6, 8-14",3,"10:30","12:00","Y-ELMCL","F2F"
"YCC1122","EL10","AY2021-1","1-6, 8-14",4,"16:00","18:00",NA,"REMOTE"
"YCC1122","EL10","AY2021-1","1-6, 8-14",1,"16:00","18:00",NA,"REMOTE"
"YCC1122","EL3","AY2021-1","1-6, 8-14",1,"12:30","14:30","Y-TCTLT","F2F"
"YCC1122","EL3","AY2021-1","1-6, 8-14",4,"12:30","14:30","Y-TCTLT","F2F"
"YSS4220","E1","AY2021-1","1-6, 8-14",4,"18:00","21:00","Y-BlackBox","F2F"
"YHU2290","E1","AY2021-1","1-6, 8-14",6,"14:30","16:00","Y-Blackbox","F2F"
"YHU2290","E1","AY2021-1","1-6, 8-14",4,"14:30","16:00","Y-Blackbox","F2F"
"YHU3317","E1","AY2021-1","1-6, 8-14",1,"10:30","12:00","Y-ELMCL","F2F"
"YHU3317","E1","AY2021-1","1-6, 8-14",4,"10:30","12:00","Y-ELMCL","F2F"
"YCC1111","L7","AY2021-1","1-6, 8-14",6,"9:00","10:30","Y-GLRm1","F2F"
"YCC1111","L7","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-GLRm1","F2F"
"YSC2209","E1","AY2021-1","1-6, 8-14",2,"9:00","11:00",NA,"REMOTE"
"YCC1122","EL4","AY2021-1","1-6, 8-14",1,"12:30","14:30",NA,"REMOTE"
"YCC1122","EL4","AY2021-1","1-6, 8-14",4,"12:30","14:30",NA,"REMOTE"
"YSC2209","E1","AY2021-1","1-6, 8-14",5,"9:00","11:00",NA,"REMOTE"
"YSS2214","E2","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-BlackBox","F2F"
"YSS2214","E2","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-BlackBox","F2F"
"YSS2214","E2","AY2021-1","1-6, 8-14",5,"10:30","11:30","Y-BlackBox","F2F"
"YSS2214","E1","AY2021-1","1-6, 8-14",2,"10:30","11:30","Y-BlackBox","F2F"
"YSS2214","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-BlackBox","F2F"
"YSS2214","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-BlackBox","F2F"
