"faculty_id","module_code","group_code","semester_code","teaching_mode"
"yncmabg","YID3202G","E1","AY2021-1","F2F"
"yncmmjf","YID3211","E1","AY2021-1","F2F"
"yncywl","YID3216","E1","AY2021-1","F2F"
"yncmad","YID3218","E1","AY2021-1","F2F"
"ynctje","YID3218","E2","AY2021-1","F2F"
"yncscmm","YID3220","E1","AY2021-1","F2F"
"yncbjw","YID3221","E1","AY2021-1","F2F"
"yncmabg","YID4101","E1","AY2021-1","F2F"
"yncha","YSS2242","E1","AY2021-1","F2F"
"yncmvb","YSS2242","E2","AY2021-1","F2F"
"isasyj","YSS2202","E1","AY2021-1","F2F"
"yncpam","YSS3201","E1","AY2021-1","F2F"
"yncpam","YSS3254","E1","AY2021-1","F2F"
"isasmd","YSS3255","E1","AY2021-1","F2F"
"yncthrj","YSS4101","E1","AY2021-1","F2F"
"ynchch","YSS4205","E1","AY2021-1","F2F"
"yncthrj","YSS4223","E1","AY2021-1","F2F"
"ynctk","YHU3221","E1","AY2021-1","F2F"
"yncsht","YHU3243","E1","AY2021-1","F2F"
"yncnn","YHU3254","E1","AY2021-1","F2F"
"ynctpm","YHU3274","E1","AY2021-1","F2F"
"yncleec","YHU3286","E1","AY2021-1","F2F"
"yncrigo","YHU3314","E1","AY2021-1","REMOTE"
"yncatlc","YHU3317","E1","AY2021-1","F2F"
"ynckmc","YHU3330","E1","AY2021-1","REMOTE"
"yncgkd","YHU3334","E1","AY2021-1","F2F"
"ynccn","YID3219","E1","AY2021-1","F2F"
"yncpwh","YSC3247","E1","AY2021-1","F2F"
"yncatlc","YHU2290","E1","AY2021-1","F2F"
"yncrigo","YHU2307","E1","AY2021-1","REMOTE"
"yncmee","YHU2314","E1","AY2021-1","F2F"
"yncms","YHU2318","E1","AY2021-1","F2F"
"yncns","YHU3268","E1","AY2021-1","REMOTE"
"ynccmw","YHU3276","E1","AY2021-1","F2F"
"yncmee","YHU4101","E1","AY2021-1","F2F"
"ynctk","YHU4206","E1","AY2021-1","F2F"
"T0000015608","YIL1201B","E1","AY2021-1","REMOTE_IN_YNC_CLASSROOM"
"T0000015188","YLC1202","E1","AY2021-1","REMOTE"
"T0000009135","YLC1202","E2","AY2021-1","F2F"
"T0000015188","YLC2202","E1","AY2021-1","REMOTE"
"T0000009135","YLC3204","E1","AY2021-1","F2F"
"T0000015188","YLC3206","E1","AY2021-1","REMOTE"
"yncelt","YLG1201","E1","AY2021-1","REMOTE"
"yncsjm","YLL2201","E1","AY2021-1","F2F"
"T0000015185","YLS1202","E1","AY2021-1","F2F"
"T0000015185","YLS2201","E1","AY2021-1","F2F"
"T0000015185","YLS2202","E1","AY2021-1","F2F"
"yncjpm","YSC2216","E1","AY2021-1","F2F"
"yncsam","YSC2231","E1","AY2021-1","F2F"
"ynctns","YSC2233","E1","AY2021-1","REMOTE"
"yncpwh","YSC2234","E1","AY2021-1","F2F"
"ynctns","YSC3215","E1","AY2021-1","REMOTE"
"yncjpm","YSC3251","E1","AY2021-1","F2F"
"yncjg","YSC3255","E1","AY2021-1","F2F"
"ynckhe","YSC4102","E1","AY2021-1","F2F"
"yncnph","YSC4211C","E1","AY2021-1","F2F"
"yncmsl","YHU2232","E1","AY2021-1","F2F"
"yncnjb","YHU2295","E1","AY2021-1","REMOTE"
"yncfclc","YHU2311","E1","AY2021-1","F2F"
"yncmsl","YHU3210F","E1","AY2021-1","F2F"
"ynchga","YHU3260","E1","AY2021-1","F2F"
"yncbga","YHU3272","E1","AY2021-1","REMOTE"
"ynchga","YHU4102","E1","AY2021-1","F2F"
"yncnb","YHU4253","E1","AY2021-1","F2F"
"yncah","YSC1212","E1","AY2021-1","F2F"
"yncsmt","YSC1216","E1","AY2021-1","F2F"
"yncsmt","YSC1216","E2","AY2021-1","F2F"
"yncsda","YSC2209","E1","AY2021-1","REMOTE"
"yncwtml","YSC2232","E1","AY2021-1","F2F"
"yncbesk","YSC2239","E1","AY2021-1","F2F"
"yncbesk","YSC2239","E2","AY2021-1","F2F"
"yncdim","YSC2243","E1","AY2021-1","F2F"
"yncbbla","YSC2244","E1","AY2021-1","REMOTE"
"yncsf","YSC2252","E1","AY2021-1","F2F"
"yncsf","YSC3206","E1","AY2021-1","F2F"
"yncsi","YSC3208","E1","AY2021-1","F2F"
"yncbbla","YSC3232","E1","AY2021-1","REMOTE"
"yncoghm","YSC3236","E1","AY2021-1","F2F"
"yncsf","YSC3237","E1","AY2021-1","F2F"
"yncsi","YSC3248","E1","AY2021-1","REMOTE"
"yncdim","YSC4103","E1","AY2021-1","F2F"
"ynctrt","YSC4216","E1","AY2021-1","F2F"
"yncah","YSC2221","E1","AY2021-1","F2F"
"yncah","YSC2221","E2","AY2021-1","F2F"
"yncrz","YHU2269","E1","AY2021-1","F2F"
"yncfsl","YHU2270","E1","AY2021-1","F2F"
"yncrz","YHU2280","E1","AY2021-1","F2F"
"T0000016264","YHU2313","E1","AY2021-1","REMOTE"
"ynccad","YHU2316","E1","AY2021-1","F2F"
"ynckmc","YHU3267","E1","AY2021-1","REMOTE"
"T0000016264","YHU3335","E1","AY2021-1","REMOTE"
"ynccad","YHU4103","E1","AY2021-1","F2F"
"yncsce","YSC1213","E1","AY2021-1","F2F"
"yncbsl","YSC2225","E1","AY2021-1","F2F"
"ynczb","YSC2248","E1","AY2021-1","F2F"
"ynchyhd","YSC3210","E1","AY2021-1","F2F"
"yncalr","YSC3211","E1","AY2021-1","REMOTE"
"yncnhk","YSC4209","E1","AY2021-1","F2F"
"yncbaa","YSC1221","E1","AY2021-1","REMOTE_F2F"
"isasmd","YSS1206","E1","AY2021-1","F2F"
"ynccwce","YSS3241","E1","AY2021-1","F2F"
"yncntw","YSS3276","E1","AY2021-1","REMOTE"
"yncdej","YSS4106","E1","AY2021-1","F2F"
"ynclcjj","YSS2201","E1","AY2021-1","REMOTE"
"ynclcjj","YSS2201","E2","AY2021-1","REMOTE"
"yncvyt","YSS2216","E1","AY2021-1","F2F"
"ynckeng","YSS3214","E1","AY2021-1","REMOTE"
"yncopa","YSS3279","E1","AY2021-1","F2F"
"yncvyt","YSS4102","E1","AY2021-1","F2F"
"yncopa","YSS4202","E1","AY2021-1","F2F"
"yncvyt","YSS4206C","E1","AY2021-1","F2F"
