"module_code","group_code","semester_code","weeks","day","start","end","location_code","area"
"YSC3208","E1","AY2021-1","1-6, 8-14",2,"18:00","21:00","UTTP-GLR","UTown"
"YSC3232","E1","AY2021-1","1-6, 8-14",3,"14:30","16:00",NA,NA
"YSC3232","E1","AY2021-1","1-6, 8-14",5,"14:30","16:00",NA,NA
"YSC3236","E1","AY2021-1","1-6, 8-14",6,"14:30","17:30","Y-CR17","YNC"
"YSC3237","E1","AY2021-1","1-6, 8-14",1,"13:00","14:30","Y-RC2SC","YNC"
"YSC3237","E1","AY2021-1","1-6, 8-14",2,"13:00","14:00","Y-RC2SC","YNC"
"YSC3237","E1","AY2021-1","1-6, 8-14",4,"13:00","14:30","Y-RC2SC","YNC"
"YSC3248","E1","AY2021-1","1-6, 8-14",2,"13:00","14:30",NA,NA
"YSC3248","E1","AY2021-1","1-6, 8-14",5,"13:00","14:30",NA,NA
"YSC4103","E1","AY2021-1","1-6, 8-14",3,"13:00","14:00","Y-PerfHall","YNC"
"YSC4216","E1","AY2021-1","1-6, 8-14",1,"9:00","10:30","Y-PgRm2","YNC"
"YSC4216","E1","AY2021-1","1-6, 8-14",4,"9:00","10:30","Y-PgRm2","YNC"
"YSC2221","E1","AY2021-1","1-6, 8-14",1,"18:00","21:00","Y-BlackBox","YNC"
"YSC2221","E2","AY2021-1","1-6, 8-14",1,"18:00","21:00","Y-BlackBox","YNC"
"YHU2269","E1","AY2021-1","1-6, 8-14",1,"18:00","19:30","Y-RC2SC","YNC"
"YHU2269","E1","AY2021-1","1-6, 8-14",4,"18:00","19:30","Y-RC2SC","YNC"
"YHU2270","E1","AY2021-1","1-6, 8-14",2,"13:00","14:30","Y-LT1","YNC"
"YHU2270","E1","AY2021-1","1-6, 8-14",5,"13:00","14:30","Y-LT1","YNC"
"YHU2280","E1","AY2021-1","1-6, 8-14",1,"14:30","16:00","Y-RC2SC","YNC"
"YHU2280","E1","AY2021-1","1-6, 8-14",4,"14:30","16:00","Y-RC2SC","YNC"
"YHU2313","E1","AY2021-1","1-6, 8-14",1,"9:00","10:30",NA,NA
"YHU2313","E1","AY2021-1","1-6, 8-14",4,"9:00","10:30",NA,NA
"YHU2316","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-RC2SC","YNC"
"YHU2316","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-RC2SC","YNC"
"YHU3267","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30",NA,NA
"YHU3267","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30",NA,NA
