"module_code","tag_label","semester_code"
"YSC3224","Physical Sciences","AY2021-2"
"YSC3259","Physical Sciences","AY2021-2"
"YSC4207","Physical Sciences","AY2021-2"
"YSC4209","Physical Sciences","AY2021-2"
"YSC1219","Physical Sciences (service module)","AY2021-2"
"YSC1220","Physical Sciences (service module)","AY2021-2"
"YSC2251","-","AY2021-2"
"YSS1206","PPE","AY2021-2"
"YSS2208","PPE","AY2021-2"
"YSS2239","PPE","AY2021-2"
"YSS2243","PPE","AY2021-2"
"YSS3263","PPE","AY2021-2"
"YSS3302","PPE","AY2021-2"
"YSS3305","PPE","AY2021-2"
"YSS3310","PPE","AY2021-2"
"YSS3314","PPE","AY2021-2"
"YSS4224","PPE","AY2021-2"
"YSS2201","Psychology","AY2021-2"
"YSS2216","Psychology","AY2021-2"
"YSS3215","Psychology","AY2021-2"
"YSS3278","Psychology","AY2021-2"
"YSS3279","Psychology","AY2021-2"
"YSS3317","Psychology","AY2021-2"
"YSS4102","Psychology","AY2021-2"
"YSS4263","Psychology","AY2021-2"
"YSS4264","Psychology","AY2021-2"
"YSS3231","Social Sciences","AY2021-2"
"YSS2220","Urban Studies","AY2021-2"
"YSS3222","Urban Studies","AY2021-2"
"YSS3235","Urban Studies","AY2021-2"
"YSS3273","Urban Studies","AY2021-2"
"YSS3274","Urban Studies","AY2021-2"
"YSS3284","Urban Studies","AY2021-2"
"YSS4247","Urban Studies","AY2021-2"
