"module_code","group_code","semester_code","weeks","day","start","end","location_code","teaching_mode"
"YCC1131","L4","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-ELMCL","F2F"
"YCC1131","L5","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-GLRm1","F2F"
"YCC1131","L5","AY2021-2","1-6, 8-14",5,"18:00","19:30","Y-GLRm1","F2F"
"YCC1131","L6","AY2021-2","1-6, 8-14",2,"13:00","14:30",NA,"REMOTE"
"YCC1131","L6","AY2021-2","1-6, 8-14",5,"13:00","14:30",NA,"REMOTE"
"YCC1131","L7","AY2021-2","1-6, 8-14",2,"19:30","21:00","Y-LT1","F2F"
"YCC1131","L7","AY2021-2","1-6, 8-14",5,"19:30","21:00","Y-LT1","F2F"
"YCC1131","L8","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-ELMCL","F2F"
"YCC1131","L8","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-ELMCL","F2F"
"YCC1131","L9","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-CompLab","F2F"
"YCC1131","L9","AY2021-2","1-6, 8-14",5,"18:00","19:00","Y-CompLab","F2F"
"YCC1131","L10","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-CR15","F2F"
"YCC1131","L10","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-CR15","F2F"
"YCC1131","L11","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-GLRm1","F2F"
"YCC1131","L11","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-GLRm1","F2F"
"YCC1131","L12","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-CR17","F2F"
"YCC1131","L12","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-CR17","F2F"
"YCC1131","L13","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-GLRm1","F2F"
"YCC1131","L13","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-GLRm1","F2F"
"YSS2227","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","ERC-SR10","F2F"
"YSS2227","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","ERC-SR10","F2F"
"YSS3253","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-CompLab","F2F"
"YSS3253","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-PerfHall","F2F"
"YSS3268","E1","AY2021-2","1-6, 8-14",2,"9:00","10:30","Y-LT1","F2F"
"YSS3268","E1","AY2021-2","1-6, 8-14",5,"9:00","10:30","Y-LT1","F2F"
