"faculty_id","module_code","group_code","semester_code","teaching_mode"
"yncdw","YHU3299","E1","AY2021-2","F2F"
"yncyll","YHU3306","E1","AY2021-2","F2F"
"ynctir","YHU3312","E1","AY2021-2","F2F"
"yncms","YHU3313","E1","AY2021-2","F2F"
"ynceck","YHU3316","E1","AY2021-2","F2F"
"yncleec","YHU3328","E1","AY2021-2","F2F"
"ynchga","YHU3333","E1","AY2021-2","F2F"
"yncmsl","YHU3336","E1","AY2021-2","F2F"
"yncmee","YHU3339","E1","AY2021-2","F2F"
"yncvjm","YHU3340","E1","AY2021-2","F2F"
"yncsf","YSC3239","E1","AY2021-2","F2F"
"yncmad","YSS3301","E1","AY2021-2","F2F"
"ynccmw","YHU2228","E1","AY2021-2","F2F"
"ynctk","YHU2244","E1","AY2021-2","F2F"
"yncatlc","YHU3285","E1","AY2021-2","F2F"
"ynccmw","YHU3295","E1","AY2021-2","F2F"
"yncmee","YHU3337","E1","AY2021-2","F2F"
"ynctk","YHU4212","E1","AY2021-2","F2F"
"yncdw","YHU4246","E1","AY2021-2","F2F"
"T0000016933","YLC1201","E1","AY2021-2","F2F"
"T0000009135","YLC1201","E2","AY2021-2","F2F"
"T0000016933","YLC2201","E1","AY2021-2","F2F"
"T0000016933","YLC3203","E1","AY2021-2","F2F"
"T0000015188","YLC3205","E1","AY2021-2","F2F"
"yncelt","YLG2202","E1","AY2021-2","F2F"
"-","YLN1201","E1","AY2021-2","F2F"
"-","YLN1201","E2","AY2021-2","F2F"
"yncel","YLS1201","E1","AY2021-2","F2F"
"T0000015185","YLS2201","E1","AY2021-2","F2F"
"T0000015185","YLS2202","E1","AY2021-2","F2F"
"yncel","YLS3201","E1","AY2021-2","F2F"
"yncjg","YSC2202","E1","AY2021-2","F2F"
"ynctje","YSC2235","E1","AY2021-2","F2F"
"yncjpm","YSC2250","E1","AY2021-2","F2F"
"yncccym","YSC3214","E1","AY2021-2","F2F"
"ynctns","YSC3233","E1","AY2021-2","F2F"
"yncpohl","YSC3235","E1","AY2021-2","F2F"
"ynctns","YSC3238","E1","AY2021-2","F2F"
"gmsnph","YSC3241","E1","AY2021-2","F2F"
"yncbjw","YSC3253","E1","AY2021-2","F2F"
"yncsam","YSC4229","E1","AY2021-2","F2F"
"yncsjm","YHU2211","E1","AY2021-2","F2F"
"ynccsb","YHU2212","E1","AY2021-2","F2F"
"ynchga","YHU2233","E1","AY2021-2","F2F"
"yncpatke","YHU2277","E1","AY2021-2","F2F"
"yncgkd","YHU3302","E1","AY2021-2","F2F"
"yncsht","YHU3310","E1","AY2021-2","F2F"
"yncbga","YHU3338","E1","AY2021-2","F2F"
"yncedj","YHU3345","E1","AY2021-2","F2F"
"yncmsl","YHU4236","E1","AY2021-2","F2F"
"ynccsb","YHU4237","E1","AY2021-2","F2F"
"ynchayb","YHU4254","E1","AY2021-2","F2F"
"yncoghm","YSC1212","E1","AY2021-2","F2F"
"yncoghm","YSC1212","E2","AY2021-2","F2F"
"ynchad","YSC1216","E1","AY2021-2","F2F"
"ynchad","YSC1216","E2","AY2021-2","F2F"
"yncsf","YSC2209","E1","AY2021-2","F2F"
"yncsf","YSC2209","E2","AY2021-2","F2F"
"yncgmt","YSC2210","E1","AY2021-2","F2F"
"yncgmt","YSC2210","E2","AY2021-2","F2F"
"yncsi","YSC2229","E1","AY2021-2","F2F"
"ynctrt","YSC2229","E2","AY2021-2","F2F"
"yncwtml","YSC2232","E1","AY2021-2","F2F"
"yncbesk","YSC2239","E1","AY2021-2","F2F"
"yncbesk","YSC2239","E2","AY2021-2","F2F"
"yncbbla","YSC2244","E1","AY2021-2","REMOTE"
"yncwtml","YSC2254","E1","AY2021-2","F2F"
"yncbbla","YSC3217","E1","AY2021-2","REMOTE"
"T0000016934","YSC3249","E1","AY2021-2","F2F"
"T0000016934","YSC3252","E1","AY2021-2","F2F"
"T0000016934","YSC4225","E1","AY2021-2","F2F"
"yncdim","YSC4103","E1","AY2021-2","F2F"
"yncsda","YSC4220","E1","AY2021-2","F2F"
"T0000016935","YSC4224","E1","AY2021-2","F2F"
"T0000016987","YSC4228","E1","AY2021-2","F2F"
"yncwmd","YHU2279","E1","AY2021-2","F2F"
"ynckmc","YHU2315","E1","AY2021-2","REMOTE"
"ynccad","YHU2321","E1","AY2021-2","F2F"
"ynccad","YHU3214","E1","AY2021-2","F2F"
"yncfsl","YHU4220","E1","AY2021-2","F2F"
"yncrz","YHU4256","E1","AY2021-2","F2F"
"yncbsl","YSC1207","E1","AY2021-2","F2F"
"yncnhk","YSC2203","E1","AY2021-2","F2F"
"yncalr","YSC2205","E1","AY2021-2","F2F"
"yncpsi","YSC2222","E1","AY2021-2","F2F"
"yncpsi","YSC2224","E1","AY2021-2","F2F"
"yncoba","YSC2246","E1","AY2021-2","F2F"
"yncbaa","YSC3213","E1","AY2021-2","F2F"
"ynczb","YSC3224","E1","AY2021-2","F2F"
"yncckh","YSC3259","E1","AY2021-2","F2F"
"ynchyhd","YSC4207","E1","AY2021-2","F2F"
"yncnhk","YSC4209","E1","AY2021-2","F2F"
"yncsce","YSC1219","E1","AY2021-2","F2F"
"yncas","YSC1220","E1","AY2021-2","F2F"
